verite_slip,verite_guess,z_seed,rep,policy,n_questions,correct_diagnosis,concept_accuracy,confidence
0.05,0.25,0,0,kst_adaptatif,20,True,1.0,0.8862392627541833
0.05,0.25,0,0,aleatoire,30,True,1.0,0.7641916186177223
0.05,0.25,0,0,cat_irt,30,True,1.0,
0.05,0.25,0,1,kst_adaptatif,15,True,1.0,0.8666726944725356
0.05,0.25,0,1,aleatoire,30,True,1.0,0.5933409269754701
0.05,0.25,0,1,cat_irt,30,True,1.0,
0.05,0.25,0,2,kst_adaptatif,24,True,1.0,0.48662019785572874
0.05,0.25,0,2,aleatoire,30,True,1.0,0.4506874475413708
0.05,0.25,0,2,cat_irt,30,True,1.0,
0.05,0.25,0,3,kst_adaptatif,20,True,1.0,0.7999565381461765
0.05,0.25,0,3,aleatoire,27,True,1.0,0.858035592149134
0.05,0.25,0,3,cat_irt,30,True,1.0,
0.05,0.25,0,4,kst_adaptatif,23,True,1.0,0.5004485783174566
0.05,0.25,0,4,aleatoire,30,True,1.0,0.6578865426660049
0.05,0.25,0,4,cat_irt,30,True,1.0,
0.05,0.25,0,5,kst_adaptatif,30,True,1.0,0.38650338595019784
0.05,0.25,0,5,aleatoire,30,True,1.0,0.7647917483467944
0.05,0.25,0,5,cat_irt,30,True,1.0,
0.05,0.25,0,6,kst_adaptatif,23,True,1.0,0.7957356954100189
0.05,0.25,0,6,aleatoire,30,False,0.8571428571428571,0.5333342651065328
0.05,0.25,0,6,cat_irt,30,True,1.0,
0.05,0.25,0,7,kst_adaptatif,26,True,1.0,0.4294511469470665
0.05,0.25,0,7,aleatoire,30,True,1.0,0.7765535540455749
0.05,0.25,0,7,cat_irt,30,True,1.0,
0.05,0.25,0,8,kst_adaptatif,24,True,1.0,0.44202581517894984
0.05,0.25,0,8,aleatoire,30,True,1.0,0.6484758663969967
0.05,0.25,0,8,cat_irt,30,True,1.0,
0.05,0.25,0,9,kst_adaptatif,20,True,1.0,0.5025542028823622
0.05,0.25,0,9,aleatoire,19,True,1.0,0.8822027037247963
0.05,0.25,0,9,cat_irt,30,True,1.0,
0.05,0.25,0,10,kst_adaptatif,22,True,1.0,0.44349874192898836
0.05,0.25,0,10,aleatoire,30,True,1.0,0.6553246342488847
0.05,0.25,0,10,cat_irt,30,True,1.0,
0.05,0.25,0,11,kst_adaptatif,15,True,1.0,0.8805579713162853
0.05,0.25,0,11,aleatoire,30,True,1.0,0.6512835304855162
0.05,0.25,0,11,cat_irt,30,True,1.0,
0.05,0.25,0,12,kst_adaptatif,30,True,1.0,0.37828079939080383
0.05,0.25,0,12,aleatoire,30,False,0.8571428571428571,0.5141652645477557
0.05,0.25,0,12,cat_irt,30,True,1.0,
0.05,0.25,0,13,kst_adaptatif,24,False,0.8571428571428571,0.6795828801199039
0.05,0.25,0,13,aleatoire,30,True,1.0,0.4290876739200502
0.05,0.25,0,13,cat_irt,30,True,1.0,
0.05,0.25,0,14,kst_adaptatif,25,True,1.0,0.7540041641992478
0.05,0.25,0,14,aleatoire,30,False,0.8571428571428571,0.7589536968124623
0.05,0.25,0,14,cat_irt,30,True,1.0,
0.05,0.25,0,15,kst_adaptatif,25,True,1.0,0.49821558110699005
0.05,0.25,0,15,aleatoire,29,True,1.0,0.8791579050891952
0.05,0.25,0,15,cat_irt,30,True,1.0,
0.05,0.25,0,16,kst_adaptatif,30,True,1.0,0.7736873667929752
0.05,0.25,0,16,aleatoire,30,True,1.0,0.42853774138127787
0.05,0.25,0,16,cat_irt,30,True,1.0,
0.05,0.25,0,17,kst_adaptatif,29,True,1.0,0.4967124416205693
0.05,0.25,0,17,aleatoire,30,True,1.0,0.4386094332236753
0.05,0.25,0,17,cat_irt,30,True,1.0,
0.05,0.25,0,18,kst_adaptatif,21,True,1.0,0.7053380228289261
0.05,0.25,0,18,aleatoire,19,True,1.0,0.8875258661223004
0.05,0.25,0,18,cat_irt,30,True,1.0,
0.05,0.25,0,19,kst_adaptatif,30,True,1.0,0.3808892843873793
0.05,0.25,0,19,aleatoire,30,True,1.0,0.5457996901477468
0.05,0.25,0,19,cat_irt,30,True,1.0,
0.05,0.25,1,0,kst_adaptatif,30,True,1.0,0.3522567441964134
0.05,0.25,1,0,aleatoire,30,True,1.0,0.4099668575884345
0.05,0.25,1,0,cat_irt,30,False,0.8571428571428571,
0.05,0.25,1,1,kst_adaptatif,24,True,1.0,0.8726778014275917
0.05,0.25,1,1,aleatoire,30,True,1.0,0.8506378789936273
0.05,0.25,1,1,cat_irt,30,False,0.8571428571428571,
0.05,0.25,1,2,kst_adaptatif,22,True,1.0,0.8687375804559412
0.05,0.25,1,2,aleatoire,30,True,1.0,0.6706287789426137
0.05,0.25,1,2,cat_irt,30,False,0.8571428571428571,
0.05,0.25,1,3,kst_adaptatif,30,False,0.8571428571428571,0.5174816762561806
0.05,0.25,1,3,aleatoire,30,False,0.7142857142857143,0.29878256791811414
0.05,0.25,1,3,cat_irt,30,False,0.8571428571428571,
0.05,0.25,1,4,kst_adaptatif,29,True,1.0,0.5949930479703066
0.05,0.25,1,4,aleatoire,30,False,0.8571428571428571,0.4215598263936274
0.05,0.25,1,4,cat_irt,30,False,0.8571428571428571,
0.05,0.25,1,5,kst_adaptatif,28,True,1.0,0.4316392656189563
0.05,0.25,1,5,aleatoire,30,True,1.0,0.43673368773799004
0.05,0.25,1,5,cat_irt,30,False,0.8571428571428571,
0.05,0.25,1,6,kst_adaptatif,26,True,1.0,0.72666532926324
0.05,0.25,1,6,aleatoire,30,True,1.0,0.6596890418707296
