verite_slip,verite_guess,z_seed,rep,policy,n_questions,correct_diagnosis,concept_accuracy,confidence
0.05,0.25,0,0,kst_adaptatif,14,True,1.0,0.9027409335477788
0.05,0.25,0,0,aleatoire,13,True,1.0,0.8529609596363638
0.05,0.25,0,0,cat_irt,30,True,1.0,
0.05,0.25,0,1,kst_adaptatif,9,True,1.0,0.8684488959516117
0.05,0.25,0,1,aleatoire,18,True,1.0,0.9545693948698402
0.05,0.25,0,1,cat_irt,30,True,1.0,
0.05,0.25,0,2,kst_adaptatif,8,True,1.0,0.9078893698916686
0.05,0.25,0,2,aleatoire,30,True,1.0,0.5383017280105564
0.05,0.25,0,2,cat_irt,30,True,1.0,
0.05,0.25,0,3,kst_adaptatif,12,True,1.0,0.8936492446758817
0.05,0.25,0,3,aleatoire,17,True,1.0,0.8626595884249236
0.05,0.25,0,3,cat_irt,30,True,1.0,
0.05,0.25,0,4,kst_adaptatif,15,True,1.0,0.8657964303829544
0.05,0.25,0,4,aleatoire,30,True,1.0,0.9040415802290862
0.05,0.25,0,4,cat_irt,30,True,1.0,
0.05,0.25,0,5,kst_adaptatif,19,False,0.8571428571428571,0.8636129273255382
0.05,0.25,0,5,aleatoire,24,True,1.0,0.959439139474458
0.05,0.25,0,5,cat_irt,30,True,1.0,
0.05,0.25,0,6,kst_adaptatif,15,True,1.0,0.8849147657835652
0.05,0.25,0,6,aleatoire,30,False,0.8571428571428571,0.8080447723246327
0.05,0.25,0,6,cat_irt,30,True,1.0,
0.05,0.25,0,7,kst_adaptatif,21,True,1.0,0.3921592289602325
0.05,0.25,0,7,aleatoire,23,True,1.0,0.8742410151924768
0.05,0.25,0,7,cat_irt,30,True,1.0,
0.05,0.25,0,8,kst_adaptatif,11,True,1.0,0.8772842049127421
0.05,0.25,0,8,aleatoire,30,True,1.0,0.809843485229086
0.05,0.25,0,8,cat_irt,30,True,1.0,
0.05,0.25,0,9,kst_adaptatif,14,True,1.0,0.9178654538282703
0.05,0.25,0,9,aleatoire,17,True,1.0,0.9607933117429837
0.05,0.25,0,9,cat_irt,30,True,1.0,
0.05,0.25,0,10,kst_adaptatif,14,True,1.0,0.8942423603855364
0.05,0.25,0,10,aleatoire,27,True,1.0,0.908626728698005
0.05,0.25,0,10,cat_irt,30,True,1.0,
0.05,0.25,0,11,kst_adaptatif,10,True,1.0,0.917125932966829
0.05,0.25,0,11,aleatoire,16,True,1.0,0.8555570167952129
0.05,0.25,0,11,cat_irt,30,True,1.0,
0.05,0.25,0,12,kst_adaptatif,20,False,0.7142857142857143,0.9103928110251907
0.05,0.25,0,12,aleatoire,30,False,0.8571428571428571,0.7596423644989584
0.05,0.25,0,12,cat_irt,30,True,1.0,
0.05,0.25,0,13,kst_adaptatif,11,False,0.8571428571428571,0.8589578990512822
0.05,0.25,0,13,aleatoire,16,False,0.8571428571428571,0.869645829841713
0.05,0.25,0,13,cat_irt,30,True,1.0,
0.05,0.25,0,14,kst_adaptatif,8,True,1.0,0.9078893698916686
0.05,0.25,0,14,aleatoire,27,False,0.8571428571428571,0.8531226980917932
0.05,0.25,0,14,cat_irt,30,True,1.0,
0.05,0.25,0,15,kst_adaptatif,10,True,1.0,0.8727315376992932
